Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 1.0g,6134,2.08,6.53,3.1x,412952
Cedar Creek Cannabis        [ÿproductÿdetailsÿ],Preroll 0.5g,16102,2.09,7.38,3.5x,415971
Green Zombie        [ÿproductÿdetailsÿ],Preroll 1.0g,1651,2.1,4.91,2.3x,414114
Top Shelf        [ÿproductÿdetailsÿ],Preroll 1.0g,42137,2.1,6.79,3.2x,423396
D And L Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,1470,2.1,6.84,3.3x,416400
Forbidden Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,7272,2.11,7.08,3.4x,412274
Klaritie Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,4800,2.12,7.17,3.4x,419959
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.5g,5450,2.13,7.58,3.6x,412358
Sugarleaf Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,1120,2.14,6.93,3.2x,423406
Sticky Budz        [ÿproductÿdetailsÿ],Flower 1.0g,51561,2.14,6.92,3.2x,412076
Bella Jane's        [ÿproductÿdetailsÿ],Preroll 1.0g,7604,2.16,6.17,2.9x,416762
Cannapothecary        [ÿproductÿdetailsÿ],Infused,1582,2.16,6.05,2.8x,412625
Methow Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2799,2.17,7.42,3.4x,412875
Sativa Group        [ÿproductÿdetailsÿ],Preroll 1.0g,19548,2.19,6.94,3.2x,422627
Canna Herb Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1488,2.19,7.3,3.3x,412947
Green Acre Pharms        [ÿproductÿdetailsÿ],Preroll 1.0g,21254,2.2,7.17,3.3x,413099
Binx Buds        [ÿproductÿdetailsÿ],Flower 1.0g,6188,2.21,7.3,3.3x,425099
Solar Joes        [ÿproductÿdetailsÿ],Preroll 1.0g,11021,2.23,6.07,2.7x,415819
Sasquatch Greenhouses        [ÿproductÿdetailsÿ],Flower 1.0g,1698,2.23,7.26,3.3x,412208
High State Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1912,2.23,8.51,3.8x,412573
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 1.0g,17829,2.24,6.3,2.8x,412720
Delta#nine        [ÿproductÿdetailsÿ],Preroll 1.0g,1657,2.24,6.78,3.0x,412747
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 0.75g,1440,2.25,6.63,2.9x,412258
Royal Tree Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,7155,2.25,7.19,3.2x,412425
Avitas        [ÿproductÿdetailsÿ],Preroll 0.75g,1784,2.25,6.77,3.0x,412759
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 1.0g,10458,2.25,6.55,2.9x,412149
