Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Forbidden Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5962,2.19,6.94,3.2x,412274
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 1.0g,29328,2.2,6.44,2.9x,412720
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 1.0g,27967,2.2,7.37,3.4x,412952
High Five Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1492,2.2,6.94,3.2x,416746
The Plant Factory        [ÿproductÿdetailsÿ],Preroll 1.0g,1290,2.2,6.99,3.2x,416827
Quality Brand        [ÿproductÿdetailsÿ],Flower 1.0g,25378,2.2,7.31,3.3x,417229
Cedar Creek Cannabis        [ÿproductÿdetailsÿ],Preroll 0.5g,9486,2.21,6.85,3.1x,415971
Jbc Grow        [ÿproductÿdetailsÿ],Preroll 1.0g,3821,2.23,7.2,3.2x,413631
Lm Digital        [ÿproductÿdetailsÿ],Preroll 1.0g,1819,2.23,8.68,3.9x,417214
Royal Tree Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,10202,2.25,7.2,3.2x,412425
Rochester Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1825,2.25,8.35,3.7x,413002
Golden Tree        [ÿproductÿdetailsÿ],Preroll 1.0g,39700,2.25,7.63,3.4x,416107
Cordus        [ÿproductÿdetailsÿ],Preroll 1.0g,6109,2.25,8.37,3.7x,418921
Northwest Finest        [ÿproductÿdetailsÿ],Preroll 1.0g,3843,2.26,7.12,3.2x,416499
Emerald Peaks        [ÿproductÿdetailsÿ],Edible,2280,2.26,7,3.1x,416198
Green Acre Pharms        [ÿproductÿdetailsÿ],Preroll 1.0g,9915,2.27,7.56,3.3x,413099
C Block Group        [ÿproductÿdetailsÿ],Flower 1.0g,11919,2.27,7.79,3.4x,412728
Methow Growers        [ÿproductÿdetailsÿ],Flower 1.0g,3195,2.27,8.04,3.5x,412875
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 1.0g,13045,2.28,6.81,3.0x,416462
Calyx And Trichome Creations        [ÿproductÿdetailsÿ],Preroll 1.0g,2634,2.29,6.11,2.7x,417106
"Mrs Green Jeans & the Captain, LLC        [ÿproductÿdetailsÿ]",Flower 1.0g,1983,2.29,5.9,2.6x,423373
Fresh Kind Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1150,2.3,7.5,3.3x,416039
Weed Snobs        [ÿproductÿdetailsÿ],Preroll 1.0g,1078,2.32,7.59,3.3x,412711
Hash Way Recreational        [ÿproductÿdetailsÿ],Preroll 1.0g,4320,2.32,8.4,3.6x,421873
Kush Valley        [ÿproductÿdetailsÿ],Flower 1.0g,4087,2.32,9.94,4.3x,416606
THC Express        [ÿproductÿdetailsÿ],Edible,6732,2.34,7.33,3.1x,422094
Experience Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,2502,2.35,6.81,2.9x,412072
Sativa Group        [ÿproductÿdetailsÿ],Preroll 1.0g,7657,2.36,7.14,3.0x,422627
Quincy Green        [ÿproductÿdetailsÿ],Infused,3108,2.36,9.47,4.0x,412358
Edgemont Group        [ÿproductÿdetailsÿ],Preroll 1.0g,15508,2.38,6.65,2.8x,422993
Bulldog Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,4612,2.39,7.17,3.0x,412050
Fourdub        [ÿproductÿdetailsÿ],Flower 1.0g,4216,2.4,9.41,3.9x,413165
Pacific Glo        [ÿproductÿdetailsÿ],Flower 1.0g,19086,2.42,6.69,2.8x,422928
Emerald Evolution        [ÿproductÿdetailsÿ],Preroll 0.75g,5018,2.45,7.49,3.1x,412392
Sgb        [ÿproductÿdetailsÿ],Preroll 0.75g,5275,2.45,8.08,3.3x,412621
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 1.0g,14795,2.45,8.06,3.3x,416942
G&s Greenery        [ÿproductÿdetailsÿ],Preroll 1.0g,5612,2.46,8.21,3.3x,415986
