Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Cedar Creek Cannabis        [ÿproductÿdetailsÿ],Preroll 0.5g,5760,2.25,8.21,3.6x,415971
Royal Tree Gardens        [ÿproductÿdetailsÿ],Preroll 0.75g,7886,2.25,7.29,3.2x,412425
Ww Agriculture        [ÿproductÿdetailsÿ],Flower 1.0g,1350,2.25,6.89,3.1x,412242
Zoobees Doobees        [ÿproductÿdetailsÿ],Flower 1.0g,1688,2.25,4.74,2.1x,412497
Kush Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5160,2.27,7.77,3.4x,414287
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 1.0g,11906,2.27,6.92,3.0x,416462
O.b.c. LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,2318,2.28,7.45,3.3x,416544
THC Express        [ÿproductÿdetailsÿ],Edible,7533,2.28,4.36,1.9x,422094
Central Farms LLC        [ÿproductÿdetailsÿ],Flower 1.0g,8599,2.29,6.76,3.0x,412792
Old Mcdonald's Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,10599,2.31,7.49,3.2x,415857
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 1.5g,2590,2.31,7.69,3.3x,412294
Emerald Evolution        [ÿproductÿdetailsÿ],Preroll 0.75g,2950,2.32,7.36,3.2x,412392
Perma        [ÿproductÿdetailsÿ],Preroll 1.0g,1276,2.32,8.09,3.5x,416124
Origens        [ÿproductÿdetailsÿ],Preroll 1.0g,1750,2.34,6.94,3.0x,412891
C Block Group        [ÿproductÿdetailsÿ],Flower 1.0g,6530,2.34,8.78,3.7x,412728
Emerald Sea of Green        [ÿproductÿdetailsÿ],Flower 1.0g,1975,2.34,9.21,3.9x,413198
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,1047,2.35,7.37,3.1x,412097
Acme Acres LLC        [ÿproductÿdetailsÿ],Flower 1.0g,2607,2.35,8.08,3.4x,412892
Quincy Green        [ÿproductÿdetailsÿ],Infused,5254,2.35,8.03,3.4x,412358
Sky High Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,2718,2.36,6.67,2.8x,424091
Dandelion Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3848,2.38,7.83,3.3x,417155
Leef        [ÿproductÿdetailsÿ],Preroll 1.0g,4325,2.41,8.47,3.5x,413085
Fourdub        [ÿproductÿdetailsÿ],Preroll 1.0g,8042,2.41,7.75,3.2x,413165
Twenty Plus        [ÿproductÿdetailsÿ],Flower 1.0g,5818,2.42,8.11,3.3x,413088
High State Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2342,2.43,9.24,3.8x,412573
Doctor And Crook        [ÿproductÿdetailsÿ],Preroll 1.0g,3706,2.44,8.26,3.4x,416831
Boggy Boon        [ÿproductÿdetailsÿ],Preroll 1.0g,1342,2.44,8.77,3.6x,416935
Quincy Green        [ÿproductÿdetailsÿ],Flower 1.0g,1430,2.44,8.3,3.4x,412358
New Horizon Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,5366,2.44,8.08,3.3x,415752
Walden        [ÿproductÿdetailsÿ],Flower 1.0g,25322,2.44,8.7,3.6x,416445
"Pacala,  Inc        [ÿproductÿdetailsÿ]",Preroll 1.0g,7784,2.45,8.5,3.5x,415970
Capital Green        [ÿproductÿdetailsÿ],Flower 1.0g,1048,2.46,8.37,3.4x,416196
Golden Tree        [ÿproductÿdetailsÿ],Preroll 1.0g,20800,2.47,8.48,3.4x,416107
Kush Farms        [ÿproductÿdetailsÿ],Flower 1.0g,33483,2.47,7.79,3.2x,414287
Rochester Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,6480,2.49,7.7,3.1x,413002
